V4	ComiR	DianaMicroTCDS	EIMMO	EMBL	MicroCosm	miRSVR	PicTar	PITA	PITAtop	RNA22	RNAhybrid	MinoTar	TargetScan	TargetSpy
FBgn0000008|dme-miR-14	0.2221	NA	NA	NA	NA	NA	NA	NA	NA	10.444795	NA	NA	NA	NA
FBgn0000008|dme-miR-277	0.222	NA	NA	NA	NA	NA	NA	NA	NA	16.808043	NA	NA	NA	NA
FBgn0000008|dme-miR-34	0.2223	NA	NA	NA	NA	NA	NA	NA	NA	24.719361	NA	NA	NA	0.886406999458287
FBgn0000011|dme-miR-277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.47102	NA
FBgn0000014|dme-miR-14	0.2428	NA	NA	NA	NA	NA	NA	NA	NA	3.639404	NA	NA	NA	0.677724097082328
FBgn0000014|dme-miR-277	0.2431	NA	NA	NA	NA	NA	NA	7.21	NA	26.18324	NA	NA	NA	0.632868481510985
FBgn0000014|dme-miR-34	0.2414	NA	NA	NA	NA	NA	NA	NA	NA	28.087933	NA	NA	NA	0.998397813104608
FBgn0000015|dme-miR-14	0.2261	NA	NA	NA	NA	NA	NA	NA	NA	9.562879	NA	NA	NA	0.326609587280447
FBgn0000015|dme-miR-277	0.243	NA	NA	NA	NA	NA	NA	2.96	NA	NA	NA	NA	NA	0.98843158570644
FBgn0000015|dme-miR-34	0.2429	NA	NA	NA	NA	-0.0028	NA	-8.76	NA	43.326711	NA	NA	NA	0.999643905330858
FBgn0000017|dme-miR-14	0.2367	0.699	NA	NA	NA	NA	NA	NA	NA	9.093854	NA	0.78	NA	0.342140064302197
FBgn0000017|dme-miR-277	0.2231	NA	NA	NA	NA	NA	NA	NA	NA	3.156158	NA	NA	NA	0.9855952750279
FBgn0000017|dme-miR-34	0.2365	NA	NA	NA	NA	NA	NA	NA	NA	7.49042	NA	NA	NA	0.672016760008611
FBgn0000018|dme-miR-14	0.2182	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA
FBgn0000018|dme-miR-277	0.2276	0.455	NA	NA	NA	NA	NA	NA	NA	2.122426	NA	NA	NA	0.998082781960076
FBgn0000018|dme-miR-34	0.2178	NA	NA	NA	NA	-0.2956	NA	NA	NA	10.132134	NA	NA	NA	NA
FBgn0000022|dme-miR-14	0.2211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000022|dme-miR-277	0.2208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000022|dme-miR-34	0.2214	NA	NA	NA	NA	NA	NA	NA	NA	0.96564	NA	NA	NA	0.00137813521217353
FBgn0000024|dme-miR-14	0.2376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.177306986839262
FBgn0000024|dme-miR-277	0.8834	0.66	0.886	7.25	NA	-0.0316	NA	2.46	NA	4.867696	NA	NA	NA	0.886522053078331
FBgn0000024|dme-miR-34	0.2417	NA	NA	NA	NA	NA	NA	NA	NA	5.14033	NA	NA	NA	0.869113610940978
FBgn0000028|dme-miR-14	0.2392	NA	NA	NA	NA	NA	NA	NA	NA	21.388063	NA	NA	NA	0.0032175025205317
FBgn0000028|dme-miR-277	0.2248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.899958020663258
FBgn0000028|dme-miR-34	0.2243	NA	NA	NA	NA	NA	NA	NA	NA	79.471388	NA	NA	NA	0.930843916093391
FBgn0000032|dme-miR-14	0.9144	0.905	0.869	11.94	0.00125929	-1.6472	NA	1.14	1.14	12.316498	NA	NA	0.16101	0.994433751462129
FBgn0000032|dme-miR-277	0.9213	0.97	0.886	9	0.000698088	-2.3912	NA	-3.47	NA	NA	NA	NA	NA	0.995955658668901
FBgn0000032|dme-miR-34	0.2232	0.547	NA	NA	NA	NA	NA	NA	NA	11.73921	NA	NA	NA	0.729682338449514
